INS_NM,ORG_ID,GBLOC,,
"AMER EMB, BRIDGETOWN, BARBADOS",345,OVDK,,
"RAF ST MAWGAN, ENGLAND",346,YBNM,,
FLCSI SOUDA BAY CRETE,347,UANA,,
"FORT IRWIN, CA",348,LKAT,,
"USA INTEL CTR & FORT HUACHUCA, AZ",349,KDAK,,
"USAG, FORT MONMOUTH, NJ",350,AOAC,,
"TRANSSHIP POINT, MCGUIRE AFB, NJ",351,AQFL,,
"JRTC & FORT POLK, LA",352,FSAT,,
"FORT BENNING, GA",354,CFAT,,
JPPSO SOUTH EAST,356,CNNQ,,
"375 AW, SCOTT AFB, IL",357,GKFL,,
"USA TRANS CMD AND FORT JACKSON, SC",358,CAAT,,
"FORT CAMPBELL, KY",359,FAAT,,
"LRC TRANS DIV, FORT KNOX, KY",360,FAAM,,
"LRC-REDSTONE ARSENAL, ALABAMA",361,FIAM,,
"FORT RUCKER, AL",362,FHAT,,
"USA FIELD ARTILLERY & FT SILL, OK",363,HOAT,,
"USAG, ABERDEEN PROVING GROUND, MD ",364,BAAV,,
FORT DETRICK MD,365,BBAV,,
JOINT PERS PROP SHIPPING OFFICE - MA,366,BGAC,,
"USA AIR DEF CTR & FORT BLISS, TX",367,HAAE,,
"NAS JRB, FORT WORTH, TX",368,HBNL,,
"CPPSO - HD, FORT HOOD, TX",369,HBAT,,
"FORT DRUM, NY",370,DBAT,,
FORT RILEY,371,KOAT,,
GUARDIAN MOVING AND STORAGE,15002,BOAH,,
"GUARDIAN MOVING AND STORAGE CO., INC",12754,LMAQ,,
MCB CAMP PENDLETON,11,LFMT,,
"FORT WAINWRIGHT, AK",13,MBAT,,
"OSAN AB, KOREA",15,QNFL,,
"MISAWA AB, JAPAN",16,QEFL,,
"CAMP ZAMA, JAPAN",17,QFAC,,
EURO THEATER CPPSO,19,WKAS,,
"420 LRS, RAF FAIRFORD, ENGLAND",20,YGFC,,
"WAKE ISLAND, DET 1, 15 AIRLIFT WING",21,PDFL,,
"337 ASUF, CANBERRA, AUSTRALIA",22,RAFK,,
"US MIL GP, GUATEMALA CITY, GUATEMALA",23,ONAK,,
"MANTA AB, ECUADOR",24,ZGFK,,
"426 ABS , STAVANGER CITY , NORWAY",25,VIFC,,
"AMER EMB, LUSAKA, ZAMBIA",26,TXDK,,
"AMER EMB, SANA'A, YEMEN",27,SNDK,,
"US EMB, HANOI, VIETNAM",28,RDDZ,,
"US MIL GP, CARACAS, VENEZUELA",29,ZKAK,,
"AMER EMB, CARACAS, VENEZUELA",30,ZKDK,,
"US MIL GRP, MONTEVIDEO, URUGUAY",31,ZJAK,,
"AMER EMB, MONTEVIDEO, URUGUAY",32,ZJDK,,
"USCG BASE ALAMEDA, CA",1,LHNQ,,
"MCLB, ALBANY, GA",2,CFMQ,,
"METROPOLITAN VAN & STG, INC",3,LFAH,,
"MCAS, BEAUFORT, SC",4,CAML,,
"FISC, JAX DET, CORPUS CHRISTI, TX",5,HBNT,,
"FORT LEE, VA",6,BHAQ,,
"WHITE SANDS MISSILE RANGE, NM",8,KLAE,,
"FISC, VENTURA COUNTY SITE, CA",9,LDNP,,
"ABU DHABI, AMER EMB, UNITED ARAB EMR",33,TBDK,,
"AMER EMB, KAMPALA, UGANDA",35,UGDK,,
"INCIRLIK AB, TURKEY",36,UQAZ,,
"USDAO, TUNIS, TUNISIA",37,TUDK,,
"AMER EMB, BANGKOK, THAILAND",38,RHDK,,
"AMER EMB, DAR ES SALAAM, TANZANIA",39,TZDK,,
AMERICAN INSTITUTE IN TAIWAN,40,QADK,,
"USDAO, DAMASCUS, SYRIA",41,SMDK,,
"USDAO, BERN, SWITZERLAND",43,VLDK,,
"USDAO, STOCKHOLM, SWEDEN",44,VKAK,,
"USDAO, PARAMARIBO, SURINAME",45,ZMCA,,
"ANDERSEN AFB, GUAM",46,PBFL,,
"USDAO, ATHENS, GREECE",48,UADK,,
"USDAO, ACCRA, GHANA",49,TPDK,,
"PALMEROLA AB (SOTO CANO), HONDURAS",50,OOFK,,
"US MIL GP, TEGUCIGALPA, HONDURAS",51,OOAK,,
"AMER EMB, TEGUCIGALPA, HONDURAS",52,OODK,,
"USDAO, PORT AU PRINCE, HAITI",53,OWDK,,
"JOINT REGION MARIANAS, GUAM",54,PBNQ,,
"52 LRS, SPANGDAHLEM AFB, GERMANY",55,WFFL,,
"86 LRS, CPPSO-KAISERSLAUTERN, GER.",56,WKFS,,
"TRANSSHIP POINT (AIR), NORFOLK, VA",58,BINQ,,
"U.S. CON GEN, DHAHRAN, SAUDI ARABIA",62,SFAT,,
"US EMBASSY DOHA, QATAR",70,SFDZ,,
"USDAO, SAN DOMINGO, DOMINICAN REP",80,OLDK,,
"AL DAHFRA AB, UNITED ARAB EMIRATES",85,TBFK,,
"AMER EMB, LOME, TOGO",88,TADL,,
"AMER EMB, PORT LOUIS, MAURITIUS",100,RRDK,,
"US MISSION, ANTANANARIVO, MADAGASCAR",102,TLDK,,
"AMERICAN EMBASSY, BAGHDAD, IRAQ",108,SDDZ,,
"AMER EMB, LIBREVILLE, GABON",114,TYDK,,
"AMER EMB, ZAGREB, CROATIA",120,UKDL,,
"US EMB, SARAJEVO, BOSNIA & HERZGOVIN",129,UKDZ,,
"USDAO, KABUL, AFGHANISTAN",137,SODK,,
"AMER EMB, BELMOPAN, BELIZE",138,OZDK,,
"USDAO, DHAKA, BANGLADESH",139,SAAC,,
"PPSO, NAVSUP FLC BAHRAIN",140,SGNK,,
"ANDROS ISLAND, THE BAHAMAS",141,OANV,,
"AMER EMB, NASSAU, THE BAHAMAS",142,OADK,,
"65 LRS, LAJES FIELD, AZORES",143,YAFC,,
"USDAO, VIENNA, AUSTRIA",144,VHDK,,
"ALICE SPRINGS, AUSTRALIA",145,RAFC,,
"US MIL GP, BUENOS AIRES, ARGENTINA",146,ZAAK,,
"AMER EMB, BUENOS AIRES, ARGENTINA",147,ZADK,,
"USDAO, ALGIERS, ALGERIA",148,TFDK,,
"AMER EMB, KHARTOUM, REP OF SUDAN",149,TWDK,,
"USDAO, COLOMBO, SRI LANKA",150,SPDK,,
PPSO NAVSUP FLCSI ROTA,151,UNNL,,
"AMER CONS, CAPE TOWN, SOUTH AFRICA",152,TRDK,,
"USDAO, PRETORIA, SOUTH AFRICA",153,TQDK,,
"US EMB, REPUBLIC OF SINGAPORE",155,RIDK,,
"NAVY REGION CENTER, SINGAPORE",156,RINL,,
"USDAO, DAKAR, SENEGAL",157,TSDK,,
"ESKAN VILLAGE, RIYADH, SAUDI ARABIA ",158,SWAP,,
"AMER EMB, RIYADH, SAUDI ARABIA",159,SFDL,,
"AMER CONS, JEDDAH, SAUDI ARABIA",160,SFDK,,
"AMER EMB, KIGALI, RWANDA",161,TRDZ,,
"USDAO, MOSCOW, RUSSIA",162,STDK,,
"USDAO, BUCHAREST, ROMANIA",163,VPDK,,
"ARCENT, DOHA, QATAR/CLOSED SEE OFAK",164,OFDK,,
"FORT BUCHANAN, PUERTO RICO",165,OSNC,,
"STRIKFORNATO, LISBON, PORTUGAL",166,ULNC,,
